Serial,Device_Type,first_seen_date,last_seen_date,total_days_observed,total_records,risk_score_current,risk_score_avg,risk_score_max,risk_score_min,risk_score_std,device_health_status,battery_current,battery_min,battery_max,battery_avg,battery_std,battery_readings_total,battery_readings_valid,battery_readings_negative,battery_readings_over100,battery_readings_nan,battery_data_quality_pct,battery_data_quality,expected_daily_drain,battery_drain_rate_per_day,drain_deviation,days_until_battery_critical,expected_battery_life_days,expected_battery_life_years,battery_low_days_count,battery_low_percentage,battery_warning_days_count,battery_drain_category,battery_data_issue,years_remaining,battery_health_category,risk_category,drain_category,days_since_last_comm,communication_status,not_communicating_7d,has_sensor_issue,projected_life_years,life_reduction_pct,remaining_life_category,less_than_10yr_life,is_slightly_draining,is_moderately_draining,is_fast_draining,is_critical_draining,needs_replacement_1year,needs_replacement_2year,schedule_replacement_3year,life_expectancy_category,estimated_days_remaining,critical_battery_30d,emergency_battery_7d,comm_risk_score,sensor_risk_score,battery_risk_score,drain_risk_score,overall_risk_score,priority_level
ZN17220051,ZM1,2025-09-13,2025-10-13,30,30,100.0,100.0,100.0,100.0,0.0,CRITICAL,,,,,,,,,,,,,,,,,,,,,,,Normal,,,Low,Sensor Issue,0,Active (<24h),False,False,,,SAFE (>2 years),False,False,False,False,False,False,False,False,Excellent (>12 years),,False,False,0,0,0,0,0.0,Normal
ZN17220057,ZM1,2025-09-13,2025-10-13,30,30,100.0,100.0,100.0,100.0,0.0,CRITICAL,,,,,,,,,,,,,,,,,,,,,,,Normal,,,Low,Sensor Issue,0,Active (<24h),False,False,,,SAFE (>2 years),False,False,False,False,False,False,False,False,Excellent (>12 years),,False,False,0,0,0,0,0.0,Normal
ZN17220082,ZM1,2025-09-13,2025-10-13,30,30,100.0,100.0,100.0,100.0,0.0,CRITICAL,82.55,82.55,82.55,82.55000000000003,2.890758581290855e-14,30.0,30.0,0.0,0.0,0.0,100.0,GOOD,0.0273972602739726,0.001,-0.0263972602739726,62549.99999999999,82550.0,226.16438356164383,0.0,0.0,0.0,Excellent (<0.01%/day),Normal,30.0,Excellent (80-100%),Low,Sensor Issue,0,Active (<24h),False,False,30.0,-200.0,SAFE (>2 years),False,False,False,False,False,False,False,False,Excellent (>12 years),82550.0,False,False,0,0,0,0,0.0,Normal
RE24193941,ZM1,2025-09-13,2025-10-13,30,30,100.0,100.0,100.0,100.0,0.0,CRITICAL,60.31,60.31,60.31,60.30999999999999,1.4453792906454277e-14,30.0,30.0,0.0,0.0,0.0,100.0,GOOD,0.0273972602739726,0.001,-0.0263972602739726,40310.0,60310.0,165.23287671232876,0.0,0.0,0.0,Excellent (<0.01%/day),Normal,30.0,Good (60-80%),Low,Sensor Issue,0,Active (<24h),False,False,30.0,-200.0,SAFE (>2 years),False,False,False,False,False,False,False,False,Excellent (>12 years),60310.0,False,False,0,0,0,0,0.0,Normal
RE24190409,ZM1,2025-09-13,2025-10-13,30,30,100.0,100.0,100.0,100.0,0.0,CRITICAL,62.03,62.03,62.03,62.03,7.226896453227138e-15,30.0,30.0,0.0,0.0,0.0,100.0,GOOD,0.0273972602739726,0.001,-0.0263972602739726,42030.0,62030.0,169.94520547945206,0.0,0.0,0.0,Excellent (<0.01%/day),Normal,30.0,Good (60-80%),Low,Sensor Issue,0,Active (<24h),False,False,30.0,-200.0,SAFE (>2 years),False,False,False,False,False,False,False,False,Excellent (>12 years),62030.0,False,False,0,0,0,0,0.0,Normal
RE24190412,ZM1,2025-09-13,2025-10-13,30,30,100.0,100.0,100.0,100.0,0.0,CRITICAL,59.09,59.09,59.09,59.08999999999999,1.4453792906454277e-14,30.0,30.0,0.0,0.0,0.0,100.0,GOOD,0.0273972602739726,0.001,-0.0263972602739726,39090.0,59090.0,161.8904109589041,0.0,0.0,0.0,Excellent (<0.01%/day),Normal,30.0,Fair (40-60%),Low,Sensor Issue,0,Active (<24h),False,False,30.0,-200.0,SAFE (>2 years),False,False,False,False,False,False,False,False,Excellent (>12 years),59090.0,False,False,0,0,0,0,0.0,Normal
RE24190413,ZM1,2025-09-13,2025-10-13,30,30,100.0,100.0,100.0,100.0,0.0,CRITICAL,59.68,59.68,59.68,59.680000000000014,1.4453792906454277e-14,30.0,30.0,0.0,0.0,0.0,100.0,GOOD,0.0273972602739726,0.001,-0.0263972602739726,39680.0,59680.0,163.5068493150685,0.0,0.0,0.0,Excellent (<0.01%/day),Normal,30.0,Fair (40-60%),Low,Sensor Issue,0,Active (<24h),False,False,30.0,-200.0,SAFE (>2 years),False,False,False,False,False,False,False,False,Excellent (>12 years),59680.0,False,False,0,0,0,0,0.0,Normal
RE24190424,ZM1,2025-09-13,2025-10-13,30,30,100.0,100.0,100.0,100.0,0.0,CRITICAL,,,,,,,,,,,,,,,,,,,,,,,Normal,,,Low,Sensor Issue,0,Active (<24h),False,False,,,SAFE (>2 years),False,False,False,False,False,False,False,False,Excellent (>12 years),,False,False,0,0,0,0,0.0,Normal
RE24190426,ZM1,2025-09-13,2025-10-13,30,30,100.0,100.0,100.0,100.0,0.0,CRITICAL,,,,,,,,,,,,,,,,,,,,,,,Normal,,,Low,Sensor Issue,0,Active (<24h),False,False,,,SAFE (>2 years),False,False,False,False,False,False,False,False,Excellent (>12 years),,False,False,0,0,0,0,0.0,Normal
RE24193890,ZM1,2025-09-13,2025-10-13,30,30,100.0,100.0,100.0,100.0,0.0,CRITICAL,61.59,61.59,61.59,61.58999999999999,1.4453792906454277e-14,30.0,30.0,0.0,0.0,0.0,100.0,GOOD,0.0273972602739726,0.001,-0.0263972602739726,41590.0,61590.0,168.73972602739727,0.0,0.0,0.0,Excellent (<0.01%/day),Normal,30.0,Good (60-80%),Low,Sensor Issue,0,Active (<24h),False,False,30.0,-200.0,SAFE (>2 years),False,False,False,False,False,False,False,False,Excellent (>12 years),61590.0,False,False,0,0,0,0,0.0,Normal
RE24193900,ZM1,2025-09-13,2025-10-13,30,30,100.0,100.0,100.0,100.0,0.0,CRITICAL,,,,,,,,,,,,,,,,,,,,,,,Normal,,,Low,Sensor Issue,0,Active (<24h),False,False,,,SAFE (>2 years),False,False,False,False,False,False,False,False,Excellent (>12 years),,False,False,0,0,0,0,0.0,Normal
RE24193904,ZM1,2025-09-13,2025-10-13,30,30,100.0,100.0,100.0,100.0,0.0,CRITICAL,,,,,,,,,,,,,,,,,,,,,,,Normal,,,Low,Sensor Issue,0,Active (<24h),False,False,,,SAFE (>2 years),False,False,False,False,False,False,False,False,Excellent (>12 years),,False,False,0,0,0,0,0.0,Normal
ZN17220136,ZM1,2025-09-13,2025-10-13,30,30,100.0,100.0,100.0,100.0,0.0,CRITICAL,86.07,86.07,86.07,86.07000000000002,2.890758581290855e-14,30.0,30.0,0.0,0.0,0.0,100.0,GOOD,0.0273972602739726,0.001,-0.0263972602739726,66069.99999999999,86069.99999999999,235.8082191780821,0.0,0.0,0.0,Excellent (<0.01%/day),Normal,30.0,Excellent (80-100%),Low,Sensor Issue,0,Active (<24h),False,False,30.0,-200.0,SAFE (>2 years),False,False,False,False,False,False,False,False,Excellent (>12 years),86069.99999999999,False,False,0,0,0,0,0.0,Normal
